iter	RMSE
0	4.268906433
1	4.108443798
2	3.965320484
3	3.827474653
4	3.703406226
5	3.59234368
6	3.491791568
7	3.399988014
8	3.319635892
9	3.241561862
10	3.175033549
11	3.112334377
12	3.098056956
13	3.042335717
14	3.029451099
15	2.975498017
16	2.963531968
17	2.953100283
18	2.943011218
19	2.932298722
20	2.886024816
21	2.875186592
22	2.832672314
23	2.823778113
24	2.814838515
25	2.806865734
26	2.766999228
27	2.758771515
28	2.724913935
29	2.716911733
30	2.709936083
31	2.701095619
32	2.670348845
33	2.663957022
34	2.63356442
35	2.627316397
36	2.621508275
37	2.616438692
38	2.591816597
39	2.57355693
40	2.567341549
41	2.544698523
42	2.538790619
43	2.53354545
44	2.527834978
45	2.52373925
46	2.520024926
47	2.500621288
48	2.482630337
49	2.478742406
50	2.475279623
51	2.470733649
52	2.457357017
53	2.454331123
54	2.450505076
55	2.4324202
56	2.428860782
57	2.41397015
58	2.410702747
59	2.397700288
60	2.386758641
61	2.38455074
62	2.38214711
63	2.379721864
64	2.377192775
65	2.365805825
66	2.363492579
67	2.352259179
68	2.342029712
69	2.33865731
70	2.335315291
71	2.333669414
72	2.332091973
73	2.323137537
74	2.315591217
75	2.313679821
76	2.308319967
77	2.306264424
78	2.304764064
79	2.303449722
80	2.302281471
81	2.300599521
82	2.293219989
83	2.285870498
84	2.278249501
85	2.277270412
86	2.269977251
87	2.269083963
88	2.267928869
89	2.266801309
90	2.266092249
91	2.259796264
92	2.258871332
93	2.252747003
94	2.246856306
95	2.245538589
96	2.244129313
97	2.242599708
98	2.238880191
99	2.236184053
100	2.23508391
101	2.231478638
102	2.230549051
103	2.229262599
104	2.225773718
105	2.224793967
106	2.224412081
107	2.221459791
108	2.22101061
109	2.220125753
110	2.218170589
111	2.217107212
112	2.216669068
113	2.211015812
114	2.207264565
115	2.2064051
116	2.202115217
117	2.198774752
118	2.198094562
119	2.196039165
120	2.193829525
121	2.193560961
122	2.191949562
123	2.1878125
124	2.183980428
125	2.183730948
126	2.180457073
127	2.176343668
128	2.175246571
129	2.173305644
130	2.172443526
131	2.170462195
132	2.169509102
133	2.16672911
134	2.163668409
135	2.163020705
136	2.160280932
137	2.156559118
138	2.154613673
139	2.153774438
140	2.153188381
141	2.152893705
142	2.151889043
143	2.149289821
144	2.145669138
145	2.143112404
146	2.142934992
147	2.141854308
148	2.139674508
149	2.13861954
150	2.138395877
151	2.137072899
152	2.136834356
153	2.133802578
154	2.133539941
155	2.131747345
156	2.130059866
157	2.126624267
158	2.126435554
159	2.123895858
160	2.121089106
161	2.11953355
162	2.119424773
163	2.119305011
164	2.119189927
165	2.116556747
166	2.113628962
167	2.113497072
168	2.111708413
169	2.10951609
170	2.109418106
171	2.106866443
172	2.105213541
173	2.103468048
174	2.100769087
175	2.098502342
176	2.09711101
177	2.095544027
178	2.094523059
179	2.093949575
180	2.093027037
181	2.089456864
182	2.086743121
183	2.086231985
184	2.083371551
185	2.080479682
186	2.077477362
187	2.074990005
188	2.072351599
189	2.06953049
190	2.069449786
191	2.068531334
192	2.067697207
193	2.06691281
194	2.06452228
195	2.06301044
196	2.061665382
197	2.059441007
198	2.057700883
199	2.055530216
200	2.054808802
201	2.054720929
202	2.052273237
203	2.050249882
204	2.048505165
205	2.045968293
206	2.044234864
207	2.042575849
208	2.04081046
209	2.039773081
210	2.036683062
211	2.03662785
212	2.034117327
213	2.032350576
214	2.030284585
215	2.028743462
216	2.027305911
217	2.027255742
218	2.025993953
219	2.025944804
220	2.023925677
221	2.023878776
222	2.021364486
223	2.021320071
224	2.019133063
225	2.017693676
226	2.016734292
227	2.016692683
228	2.015241315
229	2.014351
230	2.014309495
231	2.013057027
232	2.010435498
233	2.010396263
234	2.008570136
235	2.008532335
236	2.008468754
237	2.006767586
238	2.005730207
239	2.003427925
240	2.001546477
241	2.001516435
242	2.000046331
243	1.997900583
244	1.996999159
245	1.996967222
246	1.996183327
247	1.995634738
248	1.993617605
249	1.992065293
250	1.990354643
251	1.988665041
252	1.988605543
253	1.988571411
254	1.986577437
255	1.985000597
256	1.984960261
257	1.983319269
258	1.983272078
259	1.98151808
260	1.981070296
261	1.980653274
262	1.979401162
263	1.977036843
264	1.976676374
265	1.976170278
266	1.975638944
267	1.975316813
268	1.973522516
269	1.97266639
270	1.970784359
271	1.969324569
272	1.968920294
273	1.967257376
274	1.965551912
275	1.964070711
276	1.962087344
277	1.96115183
278	1.959614016
279	1.958911993
280	1.958605348
281	1.957979058
282	1.956685104
283	1.954637759
284	1.953345345
285	1.951857911
286	1.951355943
287	1.950828568
288	1.949784432
289	1.949305842
290	1.947381917
291	1.945562758
292	1.944422001
293	1.943994241
294	1.942167795
295	1.940439813
296	1.93898831
297	1.937286444
298	1.937074949
299	1.936141808
300	1.935198313
301	1.934663243
302	1.93418885
303	1.932792437
304	1.931713925
305	1.930661549
306	1.929017419
307	1.927523335
308	1.926363982
309	1.924840586
310	1.923373569
311	1.922251939
312	1.920606534
313	1.919308287
314	1.917840291
315	1.916247889
316	1.915663664
317	1.914417982
318	1.913603573
319	1.912833256
320	1.911364298
321	1.910505368
322	1.909481136
323	1.907965193
324	1.907201295
325	1.905269636
326	1.904586777
327	1.903268928
328	1.902425235
329	1.901364626
330	1.900885966
331	1.90019021
332	1.899147729
333	1.898040172
334	1.897576889
335	1.897237714
336	1.896610562
337	1.896294688
338	1.89504142
339	1.893659002
340	1.893099243
341	1.892933457
342	1.891402038
343	1.889786788
344	1.889121694
345	1.887833993
346	1.886194439
347	1.885148617
348	1.884141246
349	1.883360294
350	1.882458239
351	1.88157891
352	1.880906217
353	1.879583363
354	1.878457512
355	1.877511334
356	1.876334941
357	1.875629347
358	1.874538447
359	1.873450701
360	1.872386635
361	1.871238265
362	1.870027213
363	1.869046775
364	1.86826503
365	1.867847114
366	1.867177393
367	1.866306484
368	1.865558062
369	1.86454767
370	1.863344538
371	1.862322075
372	1.86153917
373	1.86045374
374	1.859872967
375	1.85890305
376	1.857628986
377	1.85606957
378	1.855150869
379	1.85403935
380	1.852992194
381	1.852052278
382	1.851480605
383	1.851431949
384	1.850199485
385	1.84921264
386	1.848517331
387	1.848203193
388	1.847710793
389	1.846674459
390	1.846304691
391	1.846044432
392	1.845191956
393	1.844582812
394	1.843376617
395	1.842263771
396	1.841320142
397	1.840634767
398	1.840253652
399	1.839762375
400	1.838976025
401	1.838027735
402	1.837794968
403	1.836811111
404	1.83628986
405	1.835709164
406	1.835057768
407	1.834701235
408	1.83426335
409	1.8339329
410	1.832693761
411	1.831669583
412	1.83132471
413	1.83077922
414	1.829547204
415	1.829173775
416	1.828697718
417	1.827694392
418	1.827138692
419	1.826142679
420	1.825229246
421	1.824177981
422	1.823449033
423	1.822644508
424	1.822594338
425	1.822215656
426	1.821102675
427	1.820740653
428	1.819689054
429	1.819054303
430	1.818260499
431	1.817643844
432	1.817407248
433	1.816810569
434	1.816151831
435	1.815804038
436	1.814829125
