iter	Passed	Remaining
0	82	81929
1	133	66766
2	192	64049
3	232	57920
4	292	58230
5	330	54810
6	426	60560
7	472	58610
8	524	57806
9	563	55795
10	628	56474
11	672	55360
12	729	55387
13	774	54536
14	822	53996
15	869	53481
16	902	52166
17	953	52017
18	1002	51782
19	1057	51816
20	1102	51392
21	1154	51323
22	1193	50682
23	1224	49794
24	1271	49598
25	1302	48777
26	1340	48319
27	1388	48195
28	1435	48063
29	1504	48631
30	1549	48433
31	1613	48820
32	1654	48472
33	1717	48795
34	1766	48698
35	1805	48341
36	1845	48039
37	1879	47579
38	1935	47686
39	2015	48372
40	2076	48580
41	2118	48318
42	2182	48567
43	2226	48381
44	2269	48156
45	2300	47711
46	2350	47656
47	2395	47515
48	2479	48115
49	2514	47769
50	2573	47895
51	2616	47702
52	2675	47800
53	2705	47398
54	2749	47235
55	2808	47341
56	2864	47395
57	2923	47487
58	2985	47619
59	3034	47544
60	3101	47739
61	3139	47492
62	3198	47566
63	3235	47312
64	3288	47306
65	3344	47331
66	3396	47301
67	3446	47243
68	3497	47189
69	3561	47311
70	3609	47224
71	3656	47128
72	3693	46898
73	3778	47278
74	3868	47708
75	3907	47507
76	3972	47616
77	4010	47407
78	4043	47142
79	4099	47141
80	4137	46945
81	4199	47012
82	4270	47181
83	4334	47263
84	4382	47175
85	4424	47020
86	4471	46920
87	4517	46817
88	4556	46641
89	4602	46539
90	4633	46287
91	4700	46395
92	4749	46319
93	4821	46467
94	4868	46378
95	4932	46447
96	4967	46247
97	5021	46215
98	5066	46111
99	5112	46008
100	5166	45988
101	5266	46369
102	5306	46214
103	5386	46410
104	5450	46462
105	5495	46346
106	5521	46081
107	5580	46093
108	5610	45863
109	5693	46063
110	5748	46039
111	5798	45974
112	5834	45798
113	5900	45857
114	5948	45781
115	6011	45813
116	6063	45761
117	6199	46341
118	6248	46258
119	6308	46264
120	6380	46351
121	6423	46230
122	6463	46082
123	6522	46081
124	6565	45959
125	6639	46055
126	6681	45930
127	6742	45930
128	6789	45839
129	6843	45800
130	6889	45700
131	6935	45603
132	6989	45566
133	7089	45819
134	7157	45863
135	7203	45764
136	7270	45799
137	7317	45710
138	7357	45572
139	7416	45560
140	7456	45425
141	7538	45546
142	7580	45428
143	7634	45385
144	7678	45278
145	7736	45252
146	7781	45152
147	7850	45195
148	7900	45121
149	7948	45044
150	8030	45150
151	8066	45001
152	8102	44854
153	8157	44812
154	8240	44925
155	8278	44791
156	8332	44739
157	8371	44615
158	8409	44482
159	8495	44603
160	8560	44611
161	8598	44478
162	8631	44323
163	8689	44295
164	8725	44155
165	8763	44027
166	8822	44006
167	8854	43850
168	8909	43808
169	9003	43957
170	9038	43815
171	9078	43705
172	9137	43678
173	9194	43645
174	9242	43571
175	9288	43485
176	9337	43418
177	9385	43340
178	9443	43313
179	9500	43278
180	9554	43233
181	9608	43183
182	9662	43138
183	9705	43043
184	9763	43012
185	9810	42933
186	9868	42903
187	9957	43006
188	10005	42932
189	10061	42893
190	10105	42801
191	10146	42701
192	10203	42665
193	10246	42571
194	10304	42537
195	10350	42457
196	10430	42515
197	10469	42406
198	10528	42376
199	10580	42323
200	10629	42253
201	10665	42135
202	10727	42116
203	10772	42033
204	10856	42102
205	10910	42053
206	10947	41940
207	10996	41873
208	11059	41855
209	11103	41769
210	11160	41734
211	11202	41637
212	11288	41708
213	11331	41620
214	11386	41574
215	11428	41479
216	11488	41452
217	11522	41331
218	11580	41297
219	11616	41184
220	11653	41078
221	11705	41022
222	11789	41077
223	11833	40993
224	11885	40939
225	11929	40856
226	11970	40763
227	12019	40696
228	12068	40631
229	12119	40574
230	12165	40498
231	12245	40537
232	12297	40480
233	12345	40414
234	12395	40351
235	12425	40224
236	12475	40162
237	12514	40067
238	12569	40022
239	12616	39953
240	12712	40037
241	12749	39933
242	12809	39904
243	12861	39850
244	12915	39799
245	12951	39695
246	13012	39668
247	13050	39572
248	13109	39538
249	13189	39568
250	13244	39523
251	13292	39454
252	13354	39429
253	13390	39328
254	13443	39276
255	13489	39204
256	13521	39090
257	13580	39056
258	13655	39068
259	13702	38999
260	13756	38950
261	13800	38874
262	13847	38805
263	13899	38750
264	13941	38668
265	14000	38631
266	14089	38679
267	14129	38593
268	14236	38686
269	14300	38662
270	14354	38613
271	14400	38542
272	14450	38482
273	14498	38416
274	14594	38477
275	14653	38439
276	14704	38379
277	14769	38357
278	14828	38321
279	14884	38273
280	14928	38196
281	14983	38149
282	15074	38191
283	15134	38154
284	15197	38127
285	15244	38058
286	15299	38008
287	15343	37931
288	15387	37855
289	15441	37806
290	15524	37825
291	15578	37771
292	15628	37711
293	15682	37658
294	15747	37634
295	15789	37553
296	15854	37527
297	15892	37438
298	15976	37457
299	16023	37387
300	16077	37337
301	16123	37264
302	16178	37216
303	16235	37170
304	16291	37123
305	16336	37050
306	16435	37101
307	16492	37053
308	16542	36992
309	16588	36923
310	16647	36880
311	16704	36834
312	16750	36766
313	16793	36689
314	16918	36791
315	16970	36734
316	17009	36648
317	17077	36624
318	17118	36545
319	17174	36495
320	17221	36427
321	17276	36377
322	17357	36381
323	17398	36300
324	17473	36291
325	17517	36217
326	17578	36179
327	17625	36111
328	17684	36067
329	17730	35997
330	17771	35919
331	17826	35867
332	17910	35874
333	17950	35793
334	17984	35701
335	18044	35658
336	18085	35580
337	18143	35535
338	18187	35463
339	18255	35437
340	18338	35439
341	18376	35355
342	18424	35291
343	18484	35249
344	18545	35209
345	18587	35133
346	18640	35078
347	18741	35113
348	18808	35083
349	18876	35056
350	18928	34997
351	19003	34984
352	19045	34907
353	19107	34868
354	19152	34797
355	19209	34749
356	19294	34752
357	19338	34678
358	19377	34599
359	19445	34570
360	19488	34497
361	19547	34450
362	19594	34384
363	19652	34337
364	19735	34334
365	19773	34251
366	19818	34183
367	19880	34142
368	19936	34092
369	19981	34022
370	20031	33961
371	20092	33918
372	20182	33925
373	20253	33900
374	20298	33830
375	20344	33762
376	20408	33725
377	20449	33650
378	20513	33611
379	20564	33552
380	20673	33588
381	20747	33565
382	20826	33550
383	20889	33510
384	20960	33483
385	21042	33472
386	21138	33482
387	21202	33443
388	21279	33424
389	21359	33408
390	21404	33339
391	21454	33276
392	21506	33216
393	21592	33211
394	21661	33178
395	21716	33123
396	21772	33070
397	21820	33004
398	21870	32943
399	21917	32876
400	21962	32806
401	22035	32779
402	22100	32739
403	22145	32669
404	22215	32637
405	22253	32558
406	22314	32512
407	22352	32432
408	22413	32387
409	22463	32325
410	22536	32297
411	22590	32241
412	22649	32191
413	22690	32117
414	22752	32073
415	22795	32001
416	22849	31944
417	22942	31943
418	22991	31880
419	23045	31824
420	23094	31762
421	23134	31686
422	23190	31633
423	23240	31572
424	23304	31529
425	23385	31509
426	23427	31437
427	23487	31389
428	23558	31355
429	23617	31306
430	23661	31237
431	23721	31189
432	23761	31114
433	23848	31101
434	23896	31038
435	23948	30979
436	24015	30939
437	24055	30865
438	24103	30802
439	24168	30760
440	24219	30699
441	24312	30693
442	24375	30647
443	24423	30584
444	24480	30532
445	24518	30456
446	24582	30411
447	24628	30345
448	24717	30332
449	24776	30282
450	24821	30215
451	24888	30174
452	24931	30105
453	24993	30057
454	25040	29993
455	25090	29932
456	25130	29860
457	25214	29839
458	25264	29778
459	25338	29744
460	25388	29684
461	25450	29637
462	25503	29580
463	25555	29520
464	25622	29479
465	25679	29427
466	25771	29413
467	25819	29349
468	25885	29307
469	25921	29231
470	25985	29185
471	26079	29174
472	26116	29098
473	26226	29103
474	26267	29032
475	26329	28984
476	26377	28921
477	26448	28883
478	26491	28814
479	26546	28758
480	26596	28697
481	26647	28637
482	26737	28619
483	26787	28558
484	26842	28503
485	26901	28451
486	26958	28398
487	26997	28325
488	27048	28265
489	27091	28197
490	27184	28181
491	27253	28139
492	27325	28101
493	27385	28050
494	27437	27991
495	27500	27944
496	27540	27873
497	27591	27812
498	27636	27747
499	27725	27725
500	27774	27664
501	27832	27610
502	27877	27545
503	27934	27490
504	27984	27430
505	28031	27367
506	28079	27304
507	28148	27262
508	28239	27241
509	28283	27174
510	28343	27123
511	28391	27060
512	28446	27005
513	28494	26942
514	28555	26891
515	28596	26822
516	28676	26790
517	28734	26737
518	28790	26682
519	28841	26622
520	28909	26579
521	28955	26515
522	29009	26457
523	29058	26396
524	29144	26368
525	29219	26330
526	29272	26273
527	29324	26214
528	29373	26152
529	29435	26102
530	29481	26039
531	29564	26007
532	29623	25955
533	29670	25892
534	29738	25847
535	29786	25785
536	29850	25737
537	29896	25673
538	29948	25614
539	30027	25578
540	30076	25517
541	30130	25460
542	30196	25413
543	30244	25352
544	30304	25300
545	30349	25235
546	30412	25185
547	30498	25155
548	30547	25094
549	30608	25043
550	30655	24980
551	30713	24927
552	30756	24861
553	30817	24809
554	30858	24742
555	30959	24723
556	31007	24660
557	31069	24610
558	31123	24553
559	31185	24503
560	31255	24458
561	31320	24410
562	31400	24372
563	31439	24304
564	31490	24245
565	31551	24192
566	31608	24138
567	31670	24087
568	31716	24024
569	31767	23965
570	31817	23905
571	31895	23865
572	31952	23810
573	32014	23759
574	32064	23700
575	32124	23647
576	32160	23577
577	32217	23521
578	32259	23456
579	32342	23420
580	32397	23364
581	32450	23306
582	32526	23265
583	32590	23214
584	32662	23170
585	32734	23126
586	32833	23101
587	32905	23056
588	32984	23016
589	33068	22979
590	33145	22938
591	33229	22901
592	33305	22858
593	33382	22817
594	33464	22778
595	33543	22737
596	33624	22697
597	33716	22665
598	33796	22625
599	33852	22568
600	33917	22517
601	33994	22474
602	34077	22435
603	34179	22409
604	34259	22368
605	34322	22315
606	34396	22269
607	34475	22227
608	34543	22178
609	34615	22130
610	34720	22105
611	34766	22041
612	34836	21993
613	34892	21935
614	34935	21870
615	34979	21805
616	35035	21748
617	35122	21710
618	35178	21652
619	35240	21599
620	35295	21541
621	35362	21490
622	35425	21437
623	35470	21373
624	35574	21344
625	35638	21291
626	35686	21229
627	35731	21165
628	35791	21110
629	35838	21047
630	35900	20994
631	35938	20926
632	36023	20885
633	36082	20829
634	36120	20762
635	36183	20708
636	36222	20641
637	36264	20576
638	36316	20516
639	36369	20457
640	36447	20413
641	36494	20350
642	36553	20295
643	36597	20231
644	36662	20178
645	36717	20120
646	36766	20059
647	36818	19999
648	36901	19957
649	36966	19905
650	37015	19844
651	37090	19797
652	37156	19744
653	37199	19680
654	37247	19619
655	37303	19561
656	37395	19523
657	37442	19461
658	37497	19402
659	37544	19341
660	37611	19289
661	37655	19226
662	37712	19169
663	37774	19115
664	37857	19071
665	37924	19019
666	37974	18958
667	38041	18906
668	38078	18840
669	38136	18783
670	38178	18719
671	38219	18654
672	38309	18613
673	38386	18566
674	38431	18503
675	38491	18448
676	38540	18387
677	38608	18336
678	38668	18280
679	38721	18221
680	38801	18175
681	38854	18116
682	38918	18063
683	38955	17996
684	39021	17944
685	39061	17879
686	39120	17823
687	39169	17763
688	39263	17722
689	39307	17660
690	39370	17605
691	39417	17544
692	39488	17493
693	39547	17437
694	39593	17375
695	39682	17332
696	39757	17283
697	39800	17220
698	39873	17170
699	39922	17109
700	39977	17051
701	40022	16989
702	40077	16931
703	40125	16870
704	40210	16825
705	40252	16762
706	40309	16705
707	40393	16659
708	40488	16617
709	40568	16570
710	40681	16535
711	40773	16492
712	40872	16452
713	40956	16405
714	41042	16359
715	41203	16343
716	41300	16301
717	41386	16254
718	41472	16208
719	41586	16172
720	41669	16124
721	41818	16101
722	41922	16061
723	41989	16007
724	42072	15958
725	42172	15916
726	42261	15870
727	42344	15821
728	42441	15777
729	42524	15728
730	42610	15680
731	42719	15640
732	42784	15584
733	42877	15538
734	42972	15493
735	43055	15443
736	43168	15404
737	43285	15366
738	43360	15314
739	43436	15261
740	43553	15223
741	43637	15173
742	43741	15129
743	43819	15077
744	43942	15040
745	44021	14988
746	44089	14932
747	44147	14873
748	44215	14817
749	44305	14768
750	44394	14719
751	44463	14663
752	44557	14615
753	44640	14564
754	44700	14505
755	44824	14467
756	44891	14410
757	44972	14358
758	45032	14298
759	45089	14238
760	45163	14184
761	45252	14133
762	45337	14082
763	45395	14022
764	45481	13971
765	45534	13910
766	45599	13852
767	45652	13790
768	45718	13733
769	45813	13684
770	45863	13622
771	45930	13565
772	45984	13503
773	46035	13441
774	46093	13381
775	46181	13330
776	46279	13282
777	46331	13220
778	46396	13162
779	46467	13106
780	46516	13043
781	46575	12983
782	46613	12918
783	46699	12866
784	46761	12807
785	46826	12749
786	46880	12688
787	46925	12624
788	46990	12566
789	47040	12504
790	47094	12443
791	47141	12380
792	47229	12328
793	47284	12267
794	47339	12207
795	47386	12144
796	47442	12083
797	47497	12023
798	47556	11963
799	47606	11901
800	47685	11847
801	47742	11786
802	47785	11723
803	47847	11664
804	47896	11602
805	47938	11538
806	48001	11479
807	48047	11417
808	48123	11361
809	48186	11302
810	48234	11240
811	48289	11180
812	48343	11119
813	48381	11055
814	48442	10996
815	48485	10932
816	48576	10880
817	48644	10823
818	48694	10761
819	48765	10704
820	48817	10643
821	48879	10584
822	48926	10522
823	48983	10462
824	49056	10405
825	49141	10351
826	49223	10297
827	49306	10242
828	49351	10179
829	49388	10115
830	49459	10058
831	49550	10005
832	49602	9944
833	49664	9885
834	49702	9821
835	49758	9761
836	49799	9698
837	49864	9639
838	49914	9578
839	49999	9523
840	50065	9465
841	50114	9403
842	50171	9344
843	50219	9282
844	50265	9220
845	50326	9161
846	50371	9098
847	50458	9044
848	50526	8986
849	50577	8925
850	50642	8866
851	50690	8805
852	50743	8744
853	50804	8685
854	50860	8625
855	50910	8564
856	51007	8511
857	51057	8450
858	51108	8389
859	51173	8330
860	51222	8269
861	51276	8208
862	51322	8147
863	51414	8093
864	51484	8035
865	51525	7972
866	51602	7916
867	51642	7853
868	51692	7792
869	51741	7731
870	51780	7668
871	51863	7612
872	51923	7553
873	51969	7492
874	52028	7432
875	52067	7370
876	52122	7310
877	52172	7249
878	52219	7188
879	52279	7129
880	52363	7072
881	52404	7010
882	52629	6973
883	52979	6952
884	53229	6916
885	53307	6858
886	53353	6797
887	53394	6734
888	53456	6674
889	53504	6612
890	53590	6555
891	53658	6496
892	53708	6435
893	53776	6376
894	53831	6315
895	53884	6254
896	53924	6191
897	53988	6132
898	54055	6072
899	54109	6012
900	54159	5950
901	54226	5891
902	54283	5831
903	54328	5769
904	54392	5709
905	54434	5647
906	54484	5586
907	54615	5533
908	54665	5472
909	54726	5412
910	54766	5350
911	54827	5290
912	54876	5229
913	54939	5169
914	55014	5110
915	55073	5050
916	55121	4989
917	55183	4929
918	55239	4868
919	55288	4807
920	55352	4747
921	55402	4686
922	55488	4629
923	55539	4568
924	55618	4509
925	55696	4450
926	55773	4392
927	55838	4332
928	55910	4273
929	55996	4214
930	56037	4153
931	56088	4092
932	56145	4031
933	56190	3970
934	56247	3910
935	56295	3849
936	56352	3788
937	56436	3730
938	56485	3669
939	56548	3609
940	56608	3549
941	56661	3488
942	56698	3427
943	56761	3367
944	56804	3306
945	56894	3247
946	56935	3186
947	56990	3126
948	57034	3065
949	57087	3004
950	57125	2943
951	57172	2882
952	57234	2822
953	57322	2763
954	57387	2704
955	57456	2644
956	57501	2583
957	57562	2523
958	57606	2462
959	57664	2402
960	57702	2341
961	57788	2282
962	57850	2222
963	57899	2162
964	57953	2101
965	58001	2041
966	58051	1981
967	58103	1920
968	58179	1861
969	58250	1801
970	58302	1741
971	58335	1680
972	58398	1620
973	58447	1560
974	58507	1500
975	58553	1439
976	58649	1380
977	58713	1320
978	58762	1260
979	58826	1200
980	58871	1140
981	58910	1079
982	58973	1019
983	59042	960
984	59103	900
985	59159	839
986	59206	779
987	59271	719
988	59316	659
989	59376	599
990	59442	539
991	59498	479
992	59590	420
993	59636	359
994	59702	300
995	59753	239
996	59809	179
997	59848	119
998	59886	59
999	59948	0
